activity_name,date,type,total_distance_km,total_time_seconds,moving_time_seconds,average_speed_km_h,max_speed_km_h,calories,total_elevation_gain,total_elevation_loss,average_grade,average_heart_rate,max_heart_rate,suffer_score,heart_rate_zone1_time,heart_rate_zone2_time,heart_rate_zone3_time,heart_rate_zone4_time,heart_rate_zone5_time,average_watts,max_watts,normalized_power,total_steps,average_stride_length,average_cadence,start_latitude,start_longitude,start_altitude,end_latitude,end_longitude,end_altitude
Course à pied de nuit,2024-06-27T21:42:21Z,Run,5.03,1439,1435,12.62,19.36,N/A,18.8,0,N/A,166.4,181.0,44.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied avec double J,2024-06-23T17:40:21Z,Run,11.13,4808,3660,10.95,31.19,N/A,60.2,0,N/A,156.3,181.0,68.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-06-20T19:13:29Z,Run,7.59,2504,2353,11.61,16.93,N/A,45.3,0,N/A,163.8,176.0,64.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La montre pete un cable,2024-06-18T19:29:31Z,Run,7.35,466,466,56.79,14.14,N/A,10.5,0,N/A,180.0,184.0,23.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-05-30T19:08:06Z,Run,5.04,1503,1503,12.06,17.52,N/A,40.4,0,N/A,177.2,187.0,70.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Night Run,2024-04-15T20:52:49Z,Run,5.0,1374,1351,13.33,19.31,N/A,22.5,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morning Run,2023-03-26T09:25:21Z,Run,5.92,2108,2096,10.17,15.37,N/A,5.4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2023-02-28T17:48:22Z,Run,2.79,933,929,10.83,27.86,N/A,22.6,0,N/A,161.9,175.0,24.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Afternoon Run,2023-02-28T17:35:13Z,Run,5.44,2234,2024,9.68,14.42,N/A,85.4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2023-02-21T07:45:19Z,Run,4.72,1594,1456,11.67,20.14,N/A,28.8,0,N/A,173.1,187.0,24.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2023-02-05T07:53:28Z,Run,7.24,2503,2428,10.74,24.66,N/A,46.6,0,N/A,156.7,186.0,49.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
À la fraiche ,2023-01-22T07:53:40Z,Run,4.33,1751,1596,9.76,22.34,N/A,40.4,0,N/A,144.9,163.0,13.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2023-01-20T18:09:51Z,Run,12.75,3847,3631,12.64,20.31,N/A,48.6,0,N/A,173.5,188.0,148.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Afternoon Run,2022-12-20T14:43:33Z,Run,5.5,2063,2051,9.66,15.15,N/A,6.4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Avec le Val,2022-11-27T08:25:09Z,Run,4.95,1993,1947,9.15,17.64,N/A,31.2,0,N/A,151.5,177.0,31.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2022-09-15T18:28:30Z,Run,5.29,2746,2532,7.52,25.29,N/A,39.9,0,N/A,156.8,200.0,30.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied de nuit,2022-08-30T21:23:22Z,Run,1.81,427,419,15.53,21.74,N/A,0.0,0,N/A,158.6,191.0,9.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
